category_key,category_name
1,ADD-ONS & EXTRAS
2,Aamras [H&H]
3,Aamras [O]
4,Accompaniments [O]
5,Beverage [H&H]
6,Beverages
7,Beverages [O]
8,Beverages [SC]
9,Biryani & Pulav [O]
10,Bowl [H&H]
11,Breakfast & Snacks [O]
12,Breakfast & Snacks [SC]
13,Breakfast And Snacks [HH]
14,Chaat Corner
15,Chaat Corner [O]
16,Chat Corner [H&H]
17,Corporate Special Thali [O]
18,Dal / Kadi
19,"Dal, Rice, Khichadi & Kadi [O]"
20,Dessert
21,Dessert [O]
22,Egg Curies [SC]
23,Egg Specials [SC]
24,Express Combos [O]
25,Express Meals [H&H]
26,Extras
27,Fasting [O]
28,Gujarati
29,Gujarati Favourite Corner
30,Healthy Pizza
31,Healthy Pizza [O]
32,Homely & Healthy
33,Homely And Healthy -Salads [HH]
34,Indian Meals & Roti [SC]
35,Jain Special
36,Jain Top-Selling [O]
37,Maggi & Pasta [SC]
38,Noodles & Rice [SC]
39,Open Item
40,Paneer
41,Paneer Lovers ! [O]
42,Paneer Sabji
43,Paratha
44,Paratha [O]
45,Pav Bhaji & Pulao [SC]
46,Pizza
47,Pulav / Biryani
48,Puri [O]
49,Rajasthani
50,Rajasthani Dishes [O]
51,Rajasthani Special
52,Regular Sabji
53,Rice / Khichdi
54,Roti / Rotla / Puri
55,Roti And Paratha[HH]
56,Roti [O]
57,Sabji Only [HH]
58,Sabji Only [O]
59,Salad [O]
60,Salads [SC]
61,Sandwich
62,Sandwich Corner [H&H]
63,Sandwich Corner [O]
64,Sandwiches [SC]
65,Snacks
66,Snacks / Appetizers
67,Sweets
68,Thali - Bhojanam
69,Thali - Bhojanam [H&H]
70,Thali Bhojanam
71,Thepla
72,Thepla House Special
73,Thepla [O]
74,Travel Companion [O]
