date_key,business_date,weekday,month,month_name,quarter,year
1,2026-05-01,Friday,5,May,2,2026
2,2026-05-02,Saturday,5,May,2,2026
3,2026-05-03,Sunday,5,May,2,2026
4,2026-05-04,Monday,5,May,2,2026
5,2026-05-05,Tuesday,5,May,2,2026
6,2026-05-06,Wednesday,5,May,2,2026
7,2026-05-07,Thursday,5,May,2,2026
8,2026-05-08,Friday,5,May,2,2026
9,2026-05-09,Saturday,5,May,2,2026
10,2026-05-10,Sunday,5,May,2,2026
11,2026-05-11,Monday,5,May,2,2026
12,2026-05-12,Tuesday,5,May,2,2026
13,2026-05-13,Wednesday,5,May,2,2026
14,2026-05-14,Thursday,5,May,2,2026
15,2026-05-15,Friday,5,May,2,2026
16,2026-05-16,Saturday,5,May,2,2026
17,2026-05-17,Sunday,5,May,2,2026
18,2026-05-18,Monday,5,May,2,2026
19,2026-05-19,Tuesday,5,May,2,2026
20,2026-05-20,Wednesday,5,May,2,2026
21,2026-05-21,Thursday,5,May,2,2026
22,2026-05-22,Friday,5,May,2,2026
23,2026-05-23,Saturday,5,May,2,2026
24,2026-05-24,Sunday,5,May,2,2026
25,2026-05-25,Monday,5,May,2,2026
26,2026-05-26,Tuesday,5,May,2,2026
27,2026-05-27,Wednesday,5,May,2,2026
28,2026-05-28,Thursday,5,May,2,2026
29,2026-05-29,Friday,5,May,2,2026
30,2026-05-30,Saturday,5,May,2,2026
31,2026-05-31,Sunday,5,May,2,2026
32,2026-06-01,Monday,6,June,2,2026
33,2026-06-02,Tuesday,6,June,2,2026
34,2026-06-03,Wednesday,6,June,2,2026
35,2026-06-04,Thursday,6,June,2,2026
36,2026-06-05,Friday,6,June,2,2026
37,2026-06-06,Saturday,6,June,2,2026
38,2026-06-07,Sunday,6,June,2,2026
39,2026-06-08,Monday,6,June,2,2026
40,2026-06-09,Tuesday,6,June,2,2026
41,2026-06-10,Wednesday,6,June,2,2026
42,2026-06-11,Thursday,6,June,2,2026
43,2026-06-12,Friday,6,June,2,2026
44,2026-06-13,Saturday,6,June,2,2026
45,2026-06-14,Sunday,6,June,2,2026
46,2026-06-15,Monday,6,June,2,2026
47,2026-06-16,Tuesday,6,June,2,2026
48,2026-06-17,Wednesday,6,June,2,2026
49,2026-06-18,Thursday,6,June,2,2026
50,2026-06-19,Friday,6,June,2,2026
51,2026-06-20,Saturday,6,June,2,2026
52,2026-06-21,Sunday,6,June,2,2026
53,2026-06-22,Monday,6,June,2,2026
54,2026-06-23,Tuesday,6,June,2,2026
55,2026-06-24,Wednesday,6,June,2,2026
56,2026-06-25,Thursday,6,June,2,2026
57,2026-06-26,Friday,6,June,2,2026
58,2026-06-27,Saturday,6,June,2,2026
59,2026-06-28,Sunday,6,June,2,2026
60,2026-06-29,Monday,6,June,2,2026
