item_key,item_name
1,1lr water bottle
2,7up 400ml
3,7up 400ml [o]
4,Aamras - 300 Ml
5,Aamras - Thali
6,Aamras - Thali [o]
7,Aamras 300 Ml
8,Aamras 300 Ml .
9,Aamras 300 Ml[hh]
10,Aamras Meal
11,Aamras Puri
12,Aamras Puri [o]
13,Aamras Thali
14,Aamras Thali (Unlimited)
15,Aamras Thali (unlimited)
16,Aamras? - 300 Ml
17,Aamras? - 300 Ml [o]
18,Aloo - Pyaz Sabji
19,Aloo - Pyaz Sabji With Phulka Roti
20,Aloo - Pyaz Sabji With Phulka Roti & Dal Rice
21,Aloo - Pyaz Sabji With Phulka Roti & Dal Rice [O]
22,Aloo - Pyaz Sabji [O]
23,Aloo Bhaji
24,Aloo Bhaji (RASA)
25,Aloo Bhaji (SUKHA)
26,Aloo Bhaji [O]
27,Aloo Gobi Paratha
28,Aloo Gobi Paratha [O]
29,Aloo Methi Paratha
30,Aloo Methi Paratha [O]
31,Aloo Methi Sabji
32,Aloo Methi Sabji With Phulka Roti
33,Aloo Methi Sabji With Phulka Roti & Dal Rice
34,Aloo Methi Sabji With Phulka Roti [O]
35,Aloo Methi Sabji [O]
36,Aloo Mutter Sabji
37,Aloo Mutter Sabji With Phulka Roti
38,Aloo Mutter Sabji With Phulka Roti & Dal Rice
39,Aloo Mutter Sabji With Phulka Roti & Dal Rice [O]
40,Aloo Mutter Sabji With Phulka Roti [O]
41,Aloo Mutter Sabji [O]
42,Aloo Palak Sabji
43,Aloo Palak Sabji [O]
44,Aloo Paratha
45,Aloo Paratha (2 Pcs)
46,Aloo Paratha [O]
47,Aloo Rasawala
48,Aloo Sabji With Rajgira Puri
49,Aloo Sabji With Rajgira Puri [O]
50,Aloo Sukhi Bhaji
51,Aloo Tomato Sabji
52,Aloo Tomato Sabji With Phulka Roti
53,Aloo Tomato Sabji With Phulka Roti & Dal Rice
54,Aloo Tomato Sabji [O]
55,Amritshari Paneer Paratha
56,Amritshari Paneer Paratha [O]
57,Atta Ka Sheera
58,BANANA
59,BANANA - 12 PC
60,BANANA 12 PC
61,BANANA 12PC
62,BREAD 1 PKT
63,BREAD OMELATTE
64,BREAD PAKODA
65,Baingan Bharta Sabji
66,Baingan Bharta Sabji [O]
67,Baingan Bhartha Sabji
68,Bajra Pizza
69,Bajra Roti (1 Pc)
70,Bajri Roti
71,Bajri Roti (1 Pc)
72,Bajri Roti (1 Piece)
73,Bajri Roti [O]
74,Banana 12 pc
75,Banana 12pc
76,Batata Bhajiya (Pakoda) [O]
77,Batata Bhajiya (pakoda)
78,Batata Kanda Poha
79,"Batata Kanda Poha (250 Ml) , Methi Thepla (3 Pcs) Combo"
80,Batata Kanda Poha [O]
81,Batata Kanda Poha [SC]
82,Besan Gatta Sabji
83,Besan Gatte Ki Sabji
84,Besan Gatte Ki Sabji With Phulka Roti
85,Besan Gatte Ki Sabji With Phulka Roti & Khichdi Kadi
86,Besan Gatte Ki Sabji With Phulka Roti & Khichdi Kadi [O]
87,Besan Gatte Ki Sabji [O]
88,Besan Pitlu With Jowar Bhakhari Meal
89,Besan Pitlu With Jowar Bhakhari Meal .
90,Bhel Puri
91,Biscuits [sc]
92,Black Beans Corn Salad
93,Black Coffee [SC]
94,Boiled Egg
95,Boiled Egg [SC]
96,Bombay Masala Toast Sandwich
97,Bread 1 pkt
98,Bread Butter [SC]
99,Bread Jam [SC]
100,Bread Omelette
101,Bread omelette
102,CHEESE CHUTNEY SANDWICH
103,CURD
104,Chana Chat
105,Chana Chat [O]
106,Chana Masala
107,Chana Masala .
108,Chana Masala Sabji
109,Chana Masala Sabji With Phulka Roti
110,Chana Masala Sabji With Phulka Roti & Dal Rice
111,Chana Masala Sabji [O]
112,Chana Moong Chatpata Salad
113,Chana Moong Chatpata Salad .
114,Chana Salad
115,Chana Salad [SC]
116,Chass [sc]
117,Cheese Chutney Sandwich
118,Cheese Margherita Pizza
119,Cheese Paratha
120,Cheese Paratha [O]
121,Chilka Wali Moong Dal Khichdi
122,Chilka Wali Moong Dal Khichdi [O]
123,Chocolate Sandwich [SC]
124,Chokha (Rice) Roti
125,Chokha (Rice) Roti [O]
126,Chokha (rice) Roti
127,Chole Ki Sabji
128,Chole Masala
129,Chole Masala Mini Meal
130,Chole Masala Mini Meal .
131,Chole Masala Rice Bowl
132,Chole Masala Rice Bowl .
133,Chole Masala Sabji
134,Chole Masala Sabji [O]
135,Chole-Puri [O]
136,Chole-puri
137,Churma Ladoo
138,Churma Ladoo (1 Pcs)
139,Churma Ladoo (2 Pcs)
140,Churma Ladoo [o]
141,Churma Ladoo.
142,Churma Ladoo. [o]
143,Chutney Sandwich [SC]
144,Classic Maggi
145,Classic Maggi Bowl
146,Classic Maggi [O]
147,Classic Maggi [SC]
148,Coffee [SC]
149,Corn Cucumber Beans Salad
150,Cucumber Tomato Salad
151,Curd Rice
152,Curd Rice [O]
153,DAL KHICHDI
154,Dabeli
155,Dabeli (1 Pc)
156,Dabeli - Single Piece
157,Dabeli - Single Piece .
158,Dabeli Single Piece
159,Dabeli Single Piece [O]
160,Dabeli [O]
161,Dahi Bhindi Sabji With Phulka Roti & Dal Rice
162,Dahi Bhindi Sabji With Phulka Roti & Dal Rice [O]
163,Dahi Puri
164,Dahi Vada
165,Dahi Vada [O]
166,Dahiwala Bhindi Sabji
167,Dahiwala Bhindi Sabji With Phulka Roti
168,Dahiwala Bhindi Sabji With Phulka Roti [O]
169,Dahiwala Bhindi Sabji [O]
170,Dahiwala Sprout Moong Sabji
171,Dahiwala Sprout Moong Sabji With Phulka Roti
172,Dahiwala Sprout Moong Sabji [O]
173,Dal Besan Chilla
174,Dal Dhokli (Gujarati)
175,Dal Dhokli (Gujarati) [O]
176,Dal Dhokli (gujarati)
177,Dal Khichdi Bowl
178,Dal Khichdi Bowl .
179,Dal Khichdi [SC]
180,Dal Palak
181,Dal Palak [O]
182,Dal Rice Bowl
183,Dal Rice [SC]
184,Dal Tadaka
185,Dal Tadaka [O]
186,Dal Tadka
187,Dal Tadka And Jeera Rice
188,Dal Tadka And Jeera Rice [O]
189,Dal Tadka Rice Bowl
190,Dal Tadka Rice Bowl .
191,Dhaniya Thepla
192,Dhaniya Thepla [O]
193,Double Tadka Dal Khichdi With Dahi Fry & Papad
194,Dry Chatpata Chana Masala Sabji With Phulka Roti
195,Dry Chatpata Chana Masala Sabji With Phulka Roti & Dal Rice
196,Dry Chatpata Chana Masala Sabji With Phulka Roti & Dal Rice [O]
197,Dry Chatpata Chana Sabji
198,Dry Chatpata Chana Sabji [O]
199,Dudhi Chana Sabji
200,Dudhi Chana Sabji With Phulka Roti
201,Dudhi Chana Sabji With Phulka Roti & Dal Rice
202,Dudhi Chana Sabji With Phulka Roti & Dal Rice [O]
203,Dudhi Chana Sabji [O]
204,EVENT DINNER
205,EVENT FIX THALI
206,EVENT LUNCH
207,EVENT ONE DAY PAYMENT
208,EVENT ONLY DINNER
209,EVENT ONLY LUNCH
210,EVENT THALI
211,EVENT THALI FIX
212,EVENT THALI LIMITED
213,EVENT VEG THALI
214,EXTRA PAV
215,EXTRA PAV MASALA
216,Egg Bhurji [SC]
217,Egg Fried Rice [SC]
218,Egg Gotala [SC]
219,Event ONLY Lunch Thali
220,Executive Paneer Thali
221,Executive Paneer Thali .
222,Executive Thali
223,Executive Thali .
224,Extra Pav
225,Extra Pav (1 Pc) [SC]
226,Extra Pav [O]
227,FIX THALI
228,Fafda
229,Fajeto
230,Fajeto Aamras - Thali
231,Fajeto Aamras - Thali [o]
232,Fajeto Meal
233,Fajeto Meal .
234,Fajeto [o]
235,Fansi Dhokdi Sabji
236,Fansi Dhokdi Sabji With Phulka Roti
237,Fansi Dhokdi Sabji With Phulka Roti & Dal Rice
238,Fansi Dhokdi Sabji With Phulka Roti & Dal Rice [O]
239,Fansi Dhokdi Sabji With Phulka Roti [O]
240,Fansi Dhokdi Sabji [O]
241,Fasting Thali
242,Fasting Thali .
243,Fixed Thali (Rice Thali) [SC]
244,Flower Mutter Mix Sabji
245,Flower Mutter Mix Sabji With Phulka Roti
246,Flower Mutter Mix Sabji With Phulka Roti & Dal Rice
247,Flower Mutter Mix Sabji With Phulka Roti & Dal Rice [O]
248,Flower Mutter Mix Sabji With Phulka Roti [O]
249,Flower Mutter Mix Sabji [O]
250,Flower Potato Sabji
251,Flower Potato Sabji With Phulka Roti
252,Flower Potato Sabji With Phulka Roti & Dal Rice
253,Flower Potato Sabji With Phulka Roti & Dal Rice [O]
254,French Fries
255,French Fries (Peri Peri)
256,French Fries (Salted)
257,French Fries [O]
258,French fries
259,Fresh Salad
260,Fresh Salad [O]
261,GREEN CHUTNEY
262,Garlic Thepla
263,Garlic Thepla (4 Pcs)
264,Garlic Thepla [O]
265,Garlic chutney
266,Gatorade 250ml
267,Gatorade 250ml [o]
268,Gatta Pulav With Veg Raita
269,Gatta Pulav With Veg Raita [O]
270,Ghee Aloo Paratha (1 Piece)
271,Gobi Paratha
272,Gobi Paratha [O]
273,Green Peas Paratha
274,Green Salad [SC]
275,Gujarati Chundo (200 Gram)
276,Gujarati Chundo (200 Gram) [O]
277,Gujarati Chundo [200 Gram]
278,Gujarati Chundo [200 Gram] [O]
279,Gujarati Dal
280,Gujarati Dal Dhokli
281,Gujarati Dal Rice
282,Gujarati Dal Rice Meal
283,Gujarati Dal Rice [O]
284,Gujarati Dal [O]
285,Gujarati Handvo
286,Gujarati Handvo [O]
287,Gujarati Kadi
288,Gujarati Kadi [O]
289,Gujarati Khichdi (Moong Dal)
290,Gujarati Khichdi (Moong Dal) / Gujarati Kadi [O]
291,Gujarati Khichdi (moong Dal) / Gujarati Kadi
292,Gujarati Khichiyu
293,Gujarati Khichiyu [O]
294,Gujarati Mini Thali
295,Gujarati Mini Thali [O]
296,Gujarati Thali (Limited)
297,Gulab Jamun
298,Gulab Jamun (2 Pcs)
299,Gulab Jamun [O]
300,Gur Papadi
301,Gur Papadi [O]
302,Gur Papadi.
303,Gur Papadi. [O]
304,Guvar Dhokdi Sabji
305,Guvar Dhokdi Sabji With Phulka Roti
306,Guvar Dhokdi Sabji With Phulka Roti & Dal Rice
307,Guvar Dhokdi Sabji With Phulka Roti & Dal Rice [O]
308,Guvar Dhokdi Sabji [O]
309,Half Fry [sc]
310,Handvo.
311,Healthy Bajra Pizza.
312,Healthy Jawar Pizza
313,Healthy Jawar Pizza [O]
314,Healthy Mix Salad
315,Healthy Pizza (BAJRI)
316,Healthy Pizza (JAWAR)
317,High Protein Salad
318,Hot Milk [SC]
319,Idli Sambar Chutney
320,Idlis With Chutney & Sambar
321,Idlis With Chutney & Sambar [O]
322,Indori Poha
323,Jain Besan Gatta
324,Jain Gujarati Dal Rice
325,Jain Gujarati Dal Rice [O]
326,Jain Gujarati Handvo
327,Jain Gujarati Khichdi (moong Dal) / Gujarati Kadi
328,Jain Jowar Pizza
329,Jain Masala Chai - Tea (250 Ml)
330,Jain Methi Gotta
331,Jain Methi Thepla
332,Jain Methi Thepla With Dahi (4 Pcs)
333,Jain Paneer Butter
334,Jain Paneer Makhanwala
335,Jain Panki (2 Pcs)
336,Jain Patra
337,Jain Patta Kobi Sabji
338,Jain Patta Kobi Sabji [O]
339,Jain Poha
340,Jain Poha (Jain Preparation) [O]
341,Jain Poha (jain Preparation)
342,Jain Poha [O]
343,Jain Rice Khichiyu
344,Jain Sev Tomato Sabji
345,Jain Sev Tomato Sabji [O]
346,Jain Special Thali
347,Jain Special Thali [O]
348,Jain Steam Muthia With Green Chutney
349,Jain Steam Muthia With Green Chutney [O]
350,Jain Tava Pulav With Veg Raita
351,Jal Jeera
352,Jawar Roti (1 Pc)
353,Jeera Bhakhari
354,Jeera Paratha
355,Jeera Paratha [O]
356,Jeera Rice
357,Jeera Rice [O]
358,Jowar Pizza
359,Jowar Roti
360,Jowar Roti (1 Pc)
361,Jowar Roti [O]
362,Kadai Paneer
363,Kadai Paneer Rice Bowl
364,Kadai Paneer Rice Bowl .
365,Kadai Paneer With Paratha
366,Kadai Paneer With Paratha [O]
367,Kadai Paneer [O]
368,Kadai Paneer[hh]
369,Kadi Pakoda
370,Kadi Pakoda Rice Bowl
371,Kadi Pakoda Rice Bowl .
372,Kadi Pakoda With Rice
373,Kadi Pakoda With Rice [O]
374,Kadi Pakoda [O]
375,Kanda Methi Bhaji
