business_date,weekday,month,month_name,year,restaurant_name,orders,gross_sales,discount,delivery_charge,container_charge,tax,net_sales,average_order_value
2026-05-01,Friday,5,May,2026,Chandivali - Thepla House by Tejal's Kitchen,143,67414.0,4103.049999999997,0.0,5254.0,3429.3999999999987,72004.0,503.52
2026-05-01,Friday,5,May,2026,Kandivali - Thepla House by Tejal's Kitchen,154,67566.0,3900.6699999999983,0.0,4520.0,3407.1800000000007,71594.0,464.9
2026-05-01,Friday,5,May,2026,Mulund - Thepla house by Tejal's Kitchen,157,76521.0,6034.029999999998,0.0,5768.0,3518.7000000000007,79776.0,508.13
2026-05-01,Friday,5,May,2026,Parel - Thepla house by Tejal's Kitchen,127,52447.0,4647.199999999999,0.0,3909.0,2036.98,53745.0,423.19
2026-05-01,Friday,5,May,2026,Santacruz - Thepla house by Tejal's Kitchen,238,114692.5,7353.629999999996,150.0,8615.0,5799.420000000002,121909.0,512.22
2026-05-01,Friday,5,May,2026,Thane - Thepla house by Tejal's Kitchen,93,39628.0,2706.0899999999992,0.0,3051.0,1999.340000000001,41974.0,451.33
2026-05-02,Saturday,5,May,2026,Chandivali - Thepla House by Tejal's Kitchen,183,77079.0,5772.889999999997,0.0,5957.0,3864.2600000000007,81134.0,443.36
2026-05-02,Saturday,5,May,2026,Kandivali - Thepla House by Tejal's Kitchen,115,46944.0,3958.309999999999,62.0,3226.0,2301.2799999999984,48572.0,422.37
2026-05-02,Saturday,5,May,2026,Mulund - Thepla house by Tejal's Kitchen,138,63188.0,4646.919999999998,0.0,4681.0,2584.26,65806.0,476.86
2026-05-02,Saturday,5,May,2026,Parel - Thepla house by Tejal's Kitchen,171,83294.0,5489.279999999998,0.0,6314.0,3747.7000000000003,87862.0,513.81
2026-05-02,Saturday,5,May,2026,Santacruz - Thepla house by Tejal's Kitchen,184,76422.5,4869.359999999998,60.0,5587.0,3858.1600000000008,81057.0,440.53
2026-05-02,Saturday,5,May,2026,Thane - Thepla house by Tejal's Kitchen,155,66395.0,4936.359999999997,0.0,4992.0,3322.7999999999984,69774.0,450.15
2026-05-03,Sunday,5,May,2026,Chandivali - Thepla House by Tejal's Kitchen,212,102309.0,6287.699999999996,120.0,7795.0,5191.880000000003,109130.0,514.76
2026-05-03,Sunday,5,May,2026,Kandivali - Thepla House by Tejal's Kitchen,184,84980.5,5141.719999999998,50.0,5642.0,4266.36,89800.0,488.04
2026-05-03,Sunday,5,May,2026,Mulund - Thepla house by Tejal's Kitchen,137,59909.0,5514.589999999998,0.0,4370.0,2510.6800000000007,61275.0,447.26
2026-05-03,Sunday,5,May,2026,Parel - Thepla house by Tejal's Kitchen,172,77337.0,5459.459999999996,100.0,5689.0,3217.020000000002,80886.0,470.27
2026-05-03,Sunday,5,May,2026,Santacruz - Thepla house by Tejal's Kitchen,220,93190.0,6276.499999999998,130.0,7105.0,4702.300000000002,98848.0,449.31
2026-05-03,Sunday,5,May,2026,Thane - Thepla house by Tejal's Kitchen,158,72346.0,5180.539999999996,0.0,5549.0,3636.840000000001,76354.0,483.25
2026-05-04,Monday,5,May,2026,Chandivali - Thepla House by Tejal's Kitchen,166,68759.0,5604.349999999997,0.0,5190.0,3418.3000000000015,71761.0,432.3
2026-05-04,Monday,5,May,2026,Kandivali - Thepla House by Tejal's Kitchen,108,44588.0,2616.0599999999986,0.0,2886.0,2217.4200000000005,47072.0,435.85
2026-05-04,Monday,5,May,2026,Mulund - Thepla house by Tejal's Kitchen,112,50398.0,4167.8099999999995,0.0,3766.0,2169.380000000001,52169.0,465.79
2026-05-04,Monday,5,May,2026,Parel - Thepla house by Tejal's Kitchen,145,65901.0,4789.989999999998,0.0,4949.0,2716.2400000000007,68772.0,474.29
2026-05-04,Monday,5,May,2026,Santacruz - Thepla house by Tejal's Kitchen,232,98767.0,7925.299999999998,110.0,6810.0,4882.960000000004,102643.0,442.43
2026-05-04,Monday,5,May,2026,Thane - Thepla house by Tejal's Kitchen,137,56635.0,4645.199999999999,0.0,4256.0,2813.18,59060.0,431.09
2026-05-05,Tuesday,5,May,2026,Chandivali - Thepla House by Tejal's Kitchen,263,102224.0,6662.509999999997,148.0,7254.0,5142.740000000007,108118.0,411.1
2026-05-05,Tuesday,5,May,2026,Kandivali - Thepla House by Tejal's Kitchen,165,68978.5,4107.129999999998,71.0,4433.0,3423.0999999999995,72800.0,441.21
2026-05-05,Tuesday,5,May,2026,Mulund - Thepla house by Tejal's Kitchen,187,76789.0,4589.599999999998,0.0,5514.0,3409.319999999999,81128.0,433.84
2026-05-05,Tuesday,5,May,2026,Parel - Thepla house by Tejal's Kitchen,162,76286.0,5544.9299999999985,0.0,5610.0,3405.2400000000007,79762.0,492.36
2026-05-05,Tuesday,5,May,2026,Santacruz - Thepla house by Tejal's Kitchen,273,117869.0,8381.409999999996,120.0,8104.0,5881.200000000006,123602.0,452.75
