item,category,quantity,gross_sales,average_item_price
Methi Thepla,Thepla [O],11704.0,1355672.0,116.48
Wheat Roti,Roti [O],7001.0,759898.0,108.52
Gujarati Mini Thali,Corporate Special Thali [O],2510.0,740080.0,294.96
Batata Kanda Poha,Breakfast & Snacks [O],5454.0,697850.0,129.04
Aloo Paratha,Paratha [O],3519.0,670748.0,191.16
Tejal's Kitchen Special Upwas Thali,Fasting [O],1657.0,642452.0,386.73
Rajasthani Dal Bati Meal,Express Meals [H&H],1743.0,517701.0,296.93
Aamras Puri,Aamras [O],1700.0,497856.0,292.82
Regular Thali,Thali - Bhojanam [H&H],1446.0,461994.0,319.4
Steam Muthia With Green Chutney,Breakfast & Snacks [O],1868.0,461949.0,247.06
Sabudana Khichdi,Fasting [O],2453.0,407760.0,166.46
Rajasthani Dal Bati Churma,Rajasthani Dishes [O],911.0,384078.0,420.55
Special Pulao Thali,Corporate Special Thali [O],927.0,360843.0,389.28
Punjabi Mini Thali,Corporate Special Thali [O],1077.0,338448.0,315.21
Koki Paratha With Curd,Paratha [O],1311.0,336586.0,256.81
Dal Dhokli (gujarati),"Dal, Rice, Khichadi & Kadi [O]",1041.0,329592.0,316.92
Aamras - 300 Ml,Aamras [O],1291.0,314295.0,244.27
Kanda Poha,Breakfast & Snacks [O],2280.0,300961.0,132.8
Masala Chai - Tea (250 Ml),Beverages [O],1851.0,276479.0,149.37
Aamras? - 300 Ml,Aamras [O],1115.0,272627.0,245.43
Methi Thepla Combo (3 Methi Thepla / 2 Koki Paratha),Breakfast & Snacks [O],856.0,232530.0,271.48
Punjabi Aloo Paratha,Paratha [O],932.0,226890.0,243.05
Matki (math) Ki Sabji,Sabji Only [O],706.0,226095.0,320.94
Dabeli,Breakfast & Snacks [O],1441.0,210586.0,146.18
Gujarati Khichdi (moong Dal) / Gujarati Kadi,"Dal, Rice, Khichadi & Kadi [O]",632.0,204810.0,324.07
Regular Paneer Thali,Thali - Bhojanam [H&H],600.0,203680.0,339.51
Moong Dal Bhajiya (pakoda),Breakfast & Snacks [O],1184.0,203316.0,171.24
Puri-bhaji,Express Combos [O],822.0,198099.0,241.05
