item_name,quantity_sold,revenue,average_price,number_of_orders
Methi Thepla,11704.0,1355672.0,115.83,7027
Wheat Roti,7001.0,759898.0,108.54,3554
Gujarati Mini Thali,2510.0,740080.0,294.85,2085
Batata Kanda Poha,5456.0,698076.0,127.95,4156
Aloo Paratha,3609.0,688133.0,190.67,2778
Tejal's Kitchen Special Upwas Thali,1657.0,642452.0,387.72,1503
Aamras Puri,1921.0,566577.0,294.94,1621
Rajasthani Dal Bati Meal,1743.0,517701.0,297.02,1587
Special Pulao Thali,1255.0,488475.0,389.22,1027
Steam Muthia With Green Chutney,1902.0,469361.0,246.77,1704
Regular Thali,1446.0,461994.0,319.5,1114
Sabudana Khichdi,2539.0,421864.0,166.15,2162
Rajasthani Dal Bati Churma,952.0,400103.0,420.28,819
Punjabi Mini Thali,1077.0,338448.0,314.25,827
Koki Paratha With Curd,1311.0,336586.0,256.74,1175
Dal Dhokli (gujarati),1041.0,329592.0,316.61,947
Aamras - 300 Ml,1291.0,314295.0,243.45,975
Kanda Poha,2280.0,300961.0,132.0,1825
Masala Chai - Tea (250 Ml),1851.0,276479.0,149.37,1589
Aamras? - 300 Ml,1115.0,272627.0,244.51,918
Punjabi Aloo Paratha,976.0,237670.0,243.51,712
Methi Thepla Combo (3 Methi Thepla / 2 Koki Paratha),856.0,232530.0,271.65,811
Matki (math) Ki Sabji,706.0,226095.0,320.25,672
Dabeli,1441.0,210586.0,146.14,1095
Gujarati Khichdi (moong Dal) / Gujarati Kadi,632.0,204810.0,324.07,578
Regular Paneer Thali,600.0,203680.0,339.47,548
Moong Dal Bhajiya (pakoda),1184.0,203316.0,171.72,1050
Puri-bhaji,822.0,198099.0,241.0,721
Khichdi ( Moong Dal ),767.0,196402.0,256.07,680
Chilka Wali Moong Dal Khichdi,722.0,186427.0,258.21,677
Sabudana Vada,1113.0,183774.0,165.12,959
Jowar Roti,1179.0,183179.0,155.37,873
Gujarati Handvo,693.0,180585.0,260.58,644
Mumbai Vada Pav,1390.0,179510.0,129.14,959
White-dhokla,752.0,170986.0,227.38,661
"Batata Kanda Poha (250 Ml) , Methi Thepla (3 Pcs) Combo",744.0,170213.0,228.78,715
Rasawala Aloo Sabji,561.0,166864.0,297.44,505
Upma,1111.0,164378.0,147.95,988
Garlic Thepla,1400.0,163231.0,116.59,1141
Aloo Sabji With Rajgira Puri,521.0,160962.0,308.95,497
Gujarati Khichiyu,664.0,159916.0,240.84,615
Puri Bhaji Meal,658.0,155383.0,236.14,560
Plain Paratha,1045.0,152137.0,145.59,677
"Sabudana Khichdi (250 Ml) , Sabudana Vada (2 Pcs) Combo",509.0,139630.0,274.32,486
Aamras - Thali,391.0,136810.0,349.9,333
Fasting Thali,350.0,136310.0,389.46,333
Paneer Paratha,457.0,126500.0,276.81,398
Misal Pav,500.0,124897.0,249.79,437
Besan Gatte Ki Sabji,427.0,124840.0,292.37,393
Steam Rice,588.0,123972.0,210.84,477
Methi Thepla - Vacuum Pack Of 5 Piece,807.0,114919.0,142.4,344
Paneer Bhurji,279.0,113396.0,406.44,255
Batata Bhajiya (pakoda),664.0,113359.0,170.72,620
Executive Thali,296.0,112324.0,379.47,229
Palak Paneer,276.0,112069.0,406.05,270
Jain Special Thali,353.0,111002.0,314.45,280
Plain Puri,963.0,109979.0,114.2,616
Dabeli Single Piece,1621.0,105825.0,65.28,1120
Gujarati Kadi,460.0,105815.0,230.03,428
Methi Gota,495.0,104273.0,210.65,463
Punjabi Mini Thali [O],335.0,103982.0,310.39,71
Pav-bhaji (1 Qty),435.0,103900.0,238.85,358
Fajeto Aamras - Thali,292.0,103418.0,354.17,256
Dal Palak,364.0,103238.0,283.62,336
Methi Thepla - Vacuum Pack Of 5 Piece [O],1180.0,102475.0,86.84,127
Masala Chaas - Butter Milk,1142.0,100936.0,88.39,768
Gatta Pulav With Veg Raita,270.0,99580.0,368.81,258
Dahi Vada,416.0,98543.0,236.88,365
Gujarati Dal Rice,374.0,98464.0,263.27,347
Tava Pulav With Veg Raita,274.0,94677.0,345.54,262
Patta Kobi Mutter Sabji,317.0,94568.0,298.32,302
Masala Maggi,437.0,93373.0,213.67,398
Dal Tadaka,365.0,91410.0,250.44,330
Gujarati Dal,375.0,91300.0,243.47,341
Special Rice Thali,234.0,91126.0,389.43,196
Moog Dal Khichdi / Kadi Meal,372.0,89609.0,240.88,346
Curd Rice,339.0,89019.0,262.59,309
Palak Methi Bhaji,275.0,89014.0,323.69,270
Vedhami (puranpoli),593.0,88397.0,149.07,482
Papad Ki Sabji,333.0,88013.0,264.3,320
Aloo Bhaji,446.0,86114.0,193.08,394
Protein Salad,347.0,85498.0,246.39,326
Lauki Thepla,740.0,85248.0,115.2,629
Plain Thepla,739.0,84733.0,114.66,531
Baingan Bharta Sabji,222.0,83884.0,377.86,212
Dal Tadka And Jeera Rice,277.0,83594.0,301.78,251
Khaman Dhokla,361.0,82353.0,228.12,343
Patra,322.0,80509.0,250.03,304
Thali- Dal Dhokli,209.0,80026.0,382.9,206
Matki (math) Ki Sabji With Phulka Roti,245.0,79090.0,322.82,245
Dhaniya Thepla,686.0,77632.0,113.17,528
Vegetable White Pulav,331.0,76294.0,230.5,303
Nachani Roti,487.0,75657.0,155.35,369
Aloo Methi Sabji,257.0,73957.0,287.77,237
Kanda Methi Bhaji,233.0,73726.0,316.42,223
Jain Methi Thepla,514.0,72395.0,140.85,371
Dal Tadka Rice Bowl,250.0,71650.0,286.6,226
Bajri Roti,425.0,68475.0,161.12,338
Kadi Pakoda Rice Bowl,242.0,68458.0,282.88,232
Flower Mutter Mix Sabji,227.0,67139.0,295.77,219
Vada Pav Single Piece,979.0,66854.0,68.29,710
Kadi Pakoda,278.0,66786.0,240.24,245
Mango Sheera,326.0,65535.0,201.03,310
Masala Bhindi Sabji,203.0,64692.0,318.68,195
Upwas Aloo Sabji (fasting),283.0,63021.0,222.69,263
Amritshari Paneer Paratha,238.0,63019.0,264.79,198
Rasawala Aloo Sabji With Methi Thepla,180.0,62050.0,344.72,170
Idlis With Chutney & Sambar,428.0,61632.0,144.0,341
Aloo - Pyaz Sabji,219.0,61401.0,280.37,206
Dahiwala Sprout Moong Sabji,188.0,59238.0,315.1,174
Samo With Curd (bhagar),216.0,59095.0,273.59,213
Sev Tomato Sabji,203.0,59087.0,291.07,191
Aamras 300 Ml,237.0,59008.0,248.98,201
Marvadi Kadi With Chilka Wali Moong Dal Khichdi,189.0,59002.0,312.18,180
Rajgira Puri (5 Piece),282.0,58405.0,207.11,252
Aloo Mutter Sabji,195.0,57422.0,294.47,178
Vegetable Biryani With Veg Raita,163.0,56042.0,343.82,147
Kadai Paneer,145.0,55864.0,385.27,139
Samosa,429.0,55361.0,129.05,326
Atta Ka Sheera,272.0,54128.0,199.0,261
Lasuni Palak Sabji,186.0,54096.0,290.84,178
Masala Puri,387.0,53024.0,137.01,326
High Protein Salad,212.0,52000.0,245.28,211
Kadi Pakoda With Rice,160.0,51900.0,324.38,153
Chana Moong Chatpata Salad,211.0,51775.0,245.38,190
Gujarati Mini Thali [O],195.0,51651.0,264.88,41
Methi Thepla [O],511.0,51506.0,100.79,296
Aloo Methi Sabji With Phulka Roti & Dal Rice,157.0,51044.0,325.12,146
Ragada Pattice,225.0,49925.0,221.89,199
Dry Chatpata Chana Sabji,175.0,49832.0,284.75,170
Phulka Roti - 1 Piece,1656.0,49740.0,30.04,428
Jeera Bhakhari,199.0,49406.0,248.27,184
Paneer Cheese Paratha,175.0,48245.0,275.69,153
Rajma Chawal Rice Bowl,166.0,47534.0,286.35,156
Flower Potato Sabji,159.0,47169.0,296.66,151
Thali- Baigan Bharta,125.0,47010.0,376.08,124
Tindora Bataka Sabji,161.0,46858.0,291.04,155
Executive Paneer Thali,116.0,45304.0,390.55,92
Sabudana Kheer - Fasting,217.0,45220.0,208.39,208
Salad Bhel,184.0,44956.0,244.33,174
Paneer Bhurji Rice Bowl,157.0,44583.0,283.97,155
Classic Maggi,275.0,44375.0,161.36,251
Rajgira Sheera,222.0,44248.0,199.32,208
Gobi Paratha,182.0,44190.0,242.8,164
Masala Bhakhari,177.0,43968.0,248.41,169
Jain Steam Muthia With Green Chutney,171.0,43454.0,254.12,158
Paneer Makhanwala,106.0,43389.0,409.33,101
Kheer Puri Aloo Sabji Meal,169.0,41684.0,246.65,156
Besan Gatte Ki Sabji With Phulka Roti & Khichdi Kadi,119.0,41490.0,348.66,117
Jeera Paratha,343.0,41270.0,120.32,273
Wheat Roti [O],532.0,39764.0,74.74,146
Chole Masala Sabji,201.0,39716.0,197.59,188
Rice Kheer,214.0,39610.0,185.09,197
Aloo Palak Sabji,140.0,38692.0,276.37,132
Green Peas Paratha,159.0,38525.0,242.3,132
Aloo Methi Sabji With Phulka Roti,119.0,38408.0,322.76,114
Vegetable Paneer Biryani,109.0,37746.0,346.29,105
Paneer Makhani Rice Bowl,127.0,37133.0,292.39,127
Samosa Single Piece,543.0,36836.0,67.84,465
Gur Papadi,185.0,36835.0,199.11,161
Jain Tava Pulav With Veg Raita,101.0,36824.0,364.59,95
Guvar Dhokdi Sabji,122.0,36380.0,298.2,118
Special Jain Thali,93.0,35267.0,379.22,75
Upwas Farali Mishal,132.0,35265.0,267.16,118
Chana Masala Sabji,123.0,35234.0,286.46,117
Indori Poha,259.0,35085.0,135.46,190
Rava Sheera,176.0,35024.0,199.0,168
Masala Bhindi Sabji With Phulka Roti & Dal Rice,88.0,34406.0,390.98,87
Jeera Rice,158.0,34110.0,215.89,145
Guvar Dhokdi Sabji With Phulka Roti,156.0,33972.0,217.77,154
Dal Khichdi Bowl,120.0,33940.0,282.83,110
Sprouts Salad - Mix,156.0,33498.0,214.73,152
Navratri Thali,85.0,33375.0,392.65,84
Aloo Methi Paratha,137.0,33245.0,242.66,124
Sev Tomato Sabji With Phulka Roti,102.0,33004.0,323.57,102
Panchmel Dal,126.0,32576.0,258.54,121
Dahiwala Bhindi Sabji,100.0,32210.0,322.1,86
Chana Chat,175.0,32100.0,183.43,169
Chole Masala Mini Meal,123.0,31694.0,257.67,120
Mumbai Chowpatty Chana Chat,144.0,31596.0,219.42,138
Rajasthani Dal Dhokli,97.0,31188.0,321.53,94
Masala Bhindi Sabji With Phulka Roti,82.0,30934.0,377.24,82
Sev Tomato Sabji - (kathiyawadi Style),109.0,30620.0,280.92,106
Dry Chatpata Chana Masala Sabji With Phulka Roti,101.0,29955.0,296.58,100
Chole-puri,120.0,29295.0,244.13,117
Mumbai Super Combo,138.0,29005.0,210.18,133
Besan Pitlu With Jowar Bhakhari Meal,105.0,28970.0,275.9,103
Sabudana Kheer,155.0,28695.0,185.13,140
Jain Paneer Butter,83.0,28490.0,343.25,79
Patta Kobi Mutter Sabji With Phulka Roti & Dal Rice,69.0,28443.0,412.22,69
Marvadi Kadi,119.0,28052.0,235.73,111
Matki (math) Ki Sabji With Phulka Roti & Dal Rice,79.0,27960.0,353.92,79
Fajeto,120.0,27714.0,230.95,112
Churma Ladoo,132.0,27628.0,209.3,113
Gujarati Chundo (200 Gram),133.0,27398.0,206.0,127
Gulab Jamun,137.0,27263.0,199.0,123
Fansi Dhokdi Sabji,92.0,26586.0,288.98,81
Mutter Paneer,65.0,26150.0,402.31,65
Pavbhaji Combo Meal,101.0,25493.0,252.41,91
Aamras Thali,66.0,25470.0,385.91,58
Paneer Bhurji With Paratha,70.0,25220.0,360.29,69
Fresh Salad,132.0,24836.0,188.15,108
Nimbu Pani,370.0,24788.0,66.99,266
Mix. Veg Maggi Bowl,109.0,24411.0,223.95,105
Paneer Butter,61.0,24349.0,399.16,57
EVENT FIX THALI,116.0,23935.0,206.34,15
Jain Poha,155.0,23922.0,154.34,136
Jain Poha (jain Preparation),157.0,23610.0,150.38,146
Paneer Chickpeas Salad,95.0,23335.0,245.63,95
Idli Sambar Chutney,151.0,23295.0,154.27,124
Rajasthani Besan Gatta Meal,77.0,22982.0,298.47,75
Dudhi Chana Sabji,76.0,22877.0,301.01,73
Aloo Gobi Paratha,94.0,22825.0,242.82,88
Besan Gatte Ki Sabji With Phulka Roti,59.0,22303.0,378.02,57
Dahiwala Sprout Moong Sabji With Phulka Roti,100.0,22260.0,222.6,98
Khichdi ( Moong Dal ) [O],86.0,22011.0,255.94,55
Varan Bhat,77.0,21772.0,282.75,69
Aloo - Pyaz Sabji With Phulka Roti,93.0,21729.0,233.65,92
Aamras? - 300 Ml [o],90.0,21624.0,240.27,44
Jain Special Thali [O],66.0,21564.0,326.73,11
Plain Puri - 5 Pieces,186.0,21244.0,114.22,137
Dahiwala Bhindi Sabji With Phulka Roti,56.0,21132.0,377.36,53
Paneer Patiala,51.0,20553.0,403.0,50
Ringada Bataka Sabji,68.0,20212.0,297.24,65
Patta Kobi Mutter Sabji With Phulka Roti,62.0,20074.0,323.77,60
Chole Masala Rice Bowl,65.0,20025.0,308.08,64
Sprouts Salad - Moong,93.0,20019.0,215.26,90
Shradh Bhoj Thali,63.0,19822.0,314.63,51
Jain Gujarati Handvo,71.0,19636.0,276.56,68
